Race.Ethnicity,Age,Rate.per.100.000,Standard Error,Lower Confidence Interval,Upper Confidence Interval,Count,Population
NH White,30-34,178.3,1.5,175.4,181.3,13769,7720736
NH White,35-39,209.6,1.7,206.3,212.9,15360,7329309
NH White,40-44,260,1.9,256.3,263.8,18455,7097309
NH White,45-49,379.3,2.2,375,383.6,30041,7920965
NH White,50-54,586.3,2.6,581.3,591.4,51200,8732298
NH White,55-59,876.1,3.1,870,882.2,80043,9136475
NH White,60-64,1247.3,3.9,1239.7,1255,103132,8268314
NH White,65-69,1739,5,1729.3,1748.8,121633,6994253
NH White,70-74,2639.7,7.2,2625.7,2653.8,135042,5115779
NH White,75-79,4188.8,11.1,4167,4210.6,142646,3405449
NH White,80-84,7075.1,17.7,7040.4,7109.8,159965,2260965
NH White,85+,15431.8,26.7,15379.6,15484.2,334433,2167161
NH Black,30-34,270.7,3.9,263.2,278.4,4915,1815370
NH Black,35-39,321.9,4.4,313.4,330.6,5395,1675923
NH Black,40-44,412.4,5.1,402.4,422.5,6507,1578020
NH Black,45-49,566.3,5.9,554.8,578,9264,1635849
NH Black,50-54,863.7,7.2,849.7,878,14392,1666243
NH Black,55-59,1354.7,9.3,1336.5,1373,21264,1569659
NH Black,60-64,2072.3,12.9,2047.1,2097.7,25932,1251370
NH Black,65-69,2850.4,17.6,2816,2885.2,26132,916773
NH Black,70-74,3787.7,25.4,3738.1,3837.7,22294,588591
NH Black,75-79,5376.8,37.7,5303.2,5451.2,20357,378608
NH Black,80-84,7775.5,58.3,7661.8,7890.6,17813,229090
NH Black,85+,13453.5,87,13283.5,13625,23929,177865
Hispanic,30-34,129.5,1.8,126,133,5252,4055909
Hispanic,35-39,156.9,2,153,161,5955,3794969
Hispanic,40-44,197.4,2.4,192.8,202.1,6851,3470336
Hispanic,45-49,286.2,3,280.3,292.1,9153,3198366
Hispanic,50-54,457.3,4.1,449.4,465.4,12616,2758757
Hispanic,55-59,695,5.6,684.1,706.1,15407,2216862
Hispanic,60-64,1005.6,7.9,990.2,1021.1,16390,1629916
Hispanic,65-69,1404.3,11.1,1382.6,1426.2,15983,1138166
Hispanic,70-74,2103.1,16.9,2070.1,2136.5,15522,738052
Hispanic,75-79,3318.7,26.1,3267.9,3370.2,16227,488953
Hispanic,80-84,5317.4,40.6,5238.1,5397.6,17147,322471
Hispanic,85+,10873.8,62.3,10752.1,10996.6,30479,280297
AIAN,30-34,206.9,8.2,191.1,223.6,637,307923
AIAN,35-39,238.4,9.3,220.6,257.3,659,276401
AIAN,40-44,286.6,10.8,265.9,308.6,704,245607
AIAN,45-49,389,12.8,364.2,414.9,919,236274
AIAN,50-54,543.3,15.5,513.5,574.5,1236,227479
AIAN,55-59,738.8,19.1,701.9,777.3,1494,202207
AIAN,60-64,1004.3,25.4,955.2,1055.3,1567,156023
AIAN,65-69,1381,35.1,1312.9,1451.6,1544,111805
AIAN,70-74,2100.6,54.5,1995.2,2210.1,1487,70790
AIAN,75-79,3092.4,84.3,2929.5,3262.1,1347,43558
AIAN,80-84,4917.4,140.7,4645.5,5201.2,1221,24830
AIAN,85+,8820.2,213,8407.7,9247.8,1715,19444
API,30-34,65.1,1.8,61.7,68.7,1325,2034532
API,35-39,81.2,2.1,77.2,85.4,1530,1883616
API,40-44,113.2,2.5,108.3,118.2,2046,1807887
API,45-49,183.8,3.3,177.3,190.3,3103,1688658
API,50-54,283.2,4.3,274.9,291.7,4393,1551172
API,55-59,451.1,5.6,440.1,462.3,6396,1417885
API,60-64,691.3,7.6,676.5,706.2,8382,1212574
API,65-69,1010.7,10.1,991,1030.7,9973,986731
API,70-74,1496.9,14.7,1468.2,1526.1,10354,691680
API,75-79,2497.3,22.7,2453,2542.1,12116,485171
API,80-84,4293.2,36.8,4221.4,4365.8,13637,317645
API,85+,9612.7,56.4,9502.5,9723.8,29097,302694
All Races,30-34,162.5,1,160.6,164.5,25898,15934470
All Races,35-39,193.2,1.1,191,195.4,28899,14960218
All Races,40-44,243.4,1.3,240.9,246,34563,14199159
All Races,45-49,357.5,1.6,354.4,360.6,52480,14680112
All Races,50-54,561.3,1.9,557.5,565.1,83837,14935949
All Races,55-59,856.8,2.4,852,861.6,124604,14543088
All Races,60-64,1241.4,3.1,1235.3,1247.6,155403,12518197
All Races,65-69,1727.1,4.1,1719.1,1735.2,175265,10147728
All Races,70-74,2563.5,6,2551.8,2575.2,184699,7204892
All Races,75-79,4013,9.1,3995.1,4030.9,192693,4801739
All Races,80-84,6649.2,14.5,6620.8,6677.7,209783,3155001
All Races,85+,14237.8,22,14194.7,14280.9,419653,2947461